video,numFrame,seconds,fps,rfps,subset,featureFrame
SMN6WFVy-Ys,360,12,30,30,training,360
Di4eEBZjkA4,24,1,24,24,training,24
OT88wS6FLoQ,300,10,30,30,validation,300
BF0bymdQtq8,480,16,30,30,validation,480
wWeOg3z47Ps,510,17,30,30,training,510
lyngREOwOms,30,1,30,30,training,30
NhiwdXDrWGQ,319,11,29,29,training,319
dXTXKZMdlHM,30,1,30,30,training,30
iuxmA5qwwik,150,15,10,10,training,150
xlGeMfpGsfo,609,21,29,29,training,609
hLgP-zJVq88,30,1,30,30,training,30
f_Yz-JN2bLs,207,9,23,23,training,207
HJUqQfyXto8,210,7,30,30,training,210
BG8eixpUs-M,2970,99,30,30,training,2970
GfUkEf9KpLk,360,12,30,30,validation,360
75XX9onQAOI,430,43,10,10,validation,430
6yjOwZSPpIc,116,4,29,29,validation,116
I9EXYNaRkGw,2280,76,30,30,training,2280
IPSNiTTmAlk,250,10,25,25,training,250
_ZBxKLUNv28,300,10,30,30,training,300
efWPIzNWZXo,250,10,25,25,validation,250
mQ6weaBzZkg,290,10,29,29,training,290
6v6IL66plaU,250,10,25,25,training,250
dlgbRr7hNww,300,10,30,30,training,300
FKrwI3g0GhQ,261,9,29,29,validation,261
TjlYOBqDmps,450,15,30,30,training,450
lOCHsipaBKg,2900,100,29,29,training,2900
lExjyBjJY5A,230,10,23,23,training,230
hSDIxK5QfK8,230,10,23,23,training,230
_361uf9pdoE,290,10,29,29,training,290
rZqn1mRtI7w,290,10,29,29,training,290
kwYj7eBdF50,570,19,30,30,training,570
azPuR96TkBc,435,15,29,29,validation,435
YpQKPABcY48,900,30,30,30,training,900
#NAME?,300,10,30,30,training,300
6KlDo88q7Hg,300,10,30,30,training,300
Yska_2iLPvE,290,10,29,29,validation,290
9NWbHENShYE,300,10,30,30,training,300
irYUeIiGYUY,300,10,30,30,null,300
JapllEWAo20,300,10,30,30,validation,300
0tCyf7tnKFE,270,9,30,30,training,270
9kH5CHMh9G8,290,10,29,29,training,290
IboAktkZQNk,522,18,29,29,training,522
sRhwO54lMrw,551,19,29,29,validation,551
9hjI0MH-5oE,300,10,30,30,validation,300
NVYhUpUEk38,300,10,30,30,training,300
q0ojFaPl-rw,300,10,30,30,training,300
aJgg07mATOs,150,10,15,15,null,150
gYe48TB-10U,300,10,30,30,training,300
26usXbTwfgw,300,10,30,30,validation,300
iqfosnR8oVI,270,9,30,30,training,270
xpI3Brb3jew,290,10,29,29,validation,290
u9VBJvMklm4,143,13,11,11,training,143
u3sV2UbwxY0,3480,116,30,30,training,3480
ByrlmnwLHjc,360,12,30,30,training,360
l_mHNASZlUo,275,11,25,25,training,275
wxMMBKrQtyk,552,23,24,24,training,552
Mv-d08M6V-o,1073,37,29,29,training,1073
uicdiyd51Qo,300,10,30,30,training,300
ohZ8LeISE2g,300,10,30,30,training,300
hJvDZ27nX8U,300,10,30,30,training,300
0JZlOKXX798,300,10,30,30,training,300
qvMr7T7nKxE,280,10,28,28,training,280
QcrSlbN15jM,200,10,20,20,training,200
edirw2-9mKg,493,17,29,29,validation,493
GTV5sHREoyE,300,10,30,30,training,300
uAIMv_8QZUU,200,10,20,20,training,200
csf80gL7maw,300,10,30,30,training,300
FC4G0ad3KKo,300,10,30,30,training,300
Yaw295Guvfw,300,10,30,30,training,300
WYIZt98dvpI,360,12,30,30,training,360
U-BhEqGeeeg,11490,383,30,30,training,11490
